iter	Passed	Remaining
0	240	240699
1	303	151546
2	319	106336
3	348	86736
4	370	73789
5	387	64134
6	403	57175
7	419	51958
8	435	47965
9	452	44806
10	481	43263
11	498	41006
12	513	39020
13	530	37338
14	546	35868
15	562	34574
16	578	33451
17	595	32467
18	611	31580
19	630	30898
20	648	30212
21	666	29634
22	684	29091
23	703	28596
24	722	28182
25	742	27810
26	762	27477
27	780	27079
28	797	26713
29	815	26375
30	831	26001
31	848	25662
32	864	25339
33	882	25074
34	899	24804
35	916	24530
36	932	24279
37	949	24030
38	966	23811
39	982	23581
40	998	23365
41	1016	23176
42	1032	22979
43	1049	22792
44	1065	22621
45	1082	22452
46	1099	22284
47	1115	22127
48	1132	21972
49	1148	21820
50	1165	21682
51	1181	21539
52	1198	21409
53	1214	21271
54	1231	21157
55	1247	21036
56	1264	20927
57	1281	20813
58	1298	20705
59	1314	20588
60	1331	20498
61	1348	20395
62	1364	20292
63	1380	20196
64	1397	20104
65	1413	20009
66	1430	19915
67	1447	19835
68	1463	19746
69	1480	19666
70	1497	19588
71	1513	19512
72	1531	19441
73	1547	19362
74	1563	19288
75	1580	19216
76	1597	19146
77	1615	19092
78	1631	19019
79	1647	18951
80	1663	18876
81	1680	18814
82	1697	18753
83	1713	18688
84	1729	18622
85	1746	18562
86	1763	18503
87	1779	18446
88	1796	18388
89	1812	18328
90	1829	18271
91	1845	18215
92	1861	18157
93	1878	18105
94	1895	18055
95	1911	18003
96	1928	17952
97	1944	17897
98	1961	17850
99	1977	17799
100	1994	17751
101	2011	17708
102	2028	17665
103	2044	17616
104	2060	17566
105	2077	17519
106	2093	17468
107	2109	17423
108	2126	17381
109	2142	17334
110	2158	17288
111	2174	17243
112	2191	17199
113	2207	17156
114	2223	17114
115	2240	17076
116	2256	17032
117	2273	16992
118	2289	16949
119	2305	16910
120	2322	16871
121	2338	16831
122	2355	16795
123	2372	16761
124	2388	16721
125	2405	16685
126	2422	16652
127	2439	16615
128	2455	16580
129	2472	16543
130	2487	16502
131	2504	16467
132	2520	16432
133	2538	16402
134	2554	16368
135	2571	16335
136	2587	16300
137	2605	16273
138	2622	16247
139	2640	16220
140	2658	16194
141	2675	16164
142	2692	16137
143	2710	16112
144	2728	16091
145	2746	16064
146	2764	16040
147	2782	16017
148	2799	15988
149	2816	15959
150	2833	15929
151	2849	15894
152	2865	15860
153	2881	15827
154	2891	15762
155	2907	15730
156	2924	15704
157	2941	15673
158	2957	15642
159	2973	15613
160	2990	15586
161	3007	15557
162	3024	15528
163	3040	15498
164	3056	15469
165	3073	15440
166	3089	15411
167	3106	15383
168	3123	15357
169	3139	15328
170	3156	15300
171	3172	15270
172	3188	15240
173	3204	15212
174	3221	15185
175	3237	15157
176	3253	15129
177	3270	15100
178	3286	15071
179	3302	15046
180	3319	15019
181	3335	14991
182	3351	14962
183	3367	14934
184	3383	14905
185	3400	14879
186	3417	14857
187	3433	14830
188	3449	14803
189	3467	14780
190	3483	14754
191	3499	14727
192	3516	14702
193	3532	14676
194	3548	14648
195	3564	14621
196	3580	14596
197	3597	14571
198	3614	14547
199	3630	14521
200	3646	14494
201	3663	14471
202	3679	14446
203	3696	14422
204	3712	14397
205	3728	14371
206	3745	14346
207	3760	14319
208	3779	14304
209	3808	14326
210	3826	14307
211	3842	14283
212	3858	14257
213	3875	14233
214	3891	14209
215	3908	14187
216	3925	14163
217	3942	14140
218	3958	14115
219	3974	14091
220	3990	14066
221	4007	14043
222	4023	14020
223	4040	13996
224	4056	13972
225	4072	13947
226	4089	13926
227	4106	13902
228	4122	13881
229	4139	13857
230	4155	13832
231	4171	13809
232	4189	13790
233	4205	13767
234	4222	13744
235	4238	13721
236	4254	13698
237	4271	13674
238	4287	13650
239	4303	13627
240	4319	13605
241	4336	13583
242	4353	13560
243	4369	13538
244	4385	13515
245	4402	13493
246	4419	13472
247	4435	13449
248	4451	13427
249	4468	13404
250	4483	13379
251	4500	13357
252	4516	13335
253	4532	13311
254	4548	13289
255	4565	13268
256	4583	13251
257	4600	13232
258	4618	13213
259	4637	13198
260	4655	13181
261	4673	13163
262	4690	13145
263	4710	13131
264	4727	13113
265	4746	13096
266	4763	13078
267	4781	13059
268	4797	13037
269	4814	13015
270	4830	12994
271	4847	12972
