iter	Passed	Remaining
0	397	396755
1	505	252083
2	563	187212
3	629	156655
4	703	140043
5	765	126835
6	822	116639
7	881	109334
8	952	104849
9	1012	100276
10	1065	95764
11	1130	93055
12	1185	90043
13	1245	87728
14	1314	86294
15	1376	84674
16	1457	84285
17	1514	82614
18	1569	81026
19	1629	79862
20	1682	78435
21	1750	77834
22	1811	76963
23	1863	75782
24	1927	75170
25	1978	74125
26	2041	73560
27	2099	72894
28	2156	72204
29	2224	71926
30	2287	71513
31	2357	71323
32	2424	71042
33	2491	70777
34	2553	70405
35	2621	70205
36	2702	70350
37	2778	70337
38	2838	69948
39	2891	69384
40	2960	69252
41	3013	68740
42	3081	68581
43	3141	68245
44	3198	67875
45	3269	67811
46	3329	67513
47	3407	67576
48	3465	67255
49	3533	67145
50	3598	66952
51	3671	66930
52	3724	66542
53	3780	66233
54	3839	65971
55	3902	65781
56	3962	65550
57	4032	65499
58	4086	65170
59	4150	65028
60	4217	64925
61	4282	64783
62	4339	64543
63	4408	64470
64	4470	64310
65	4528	64092
66	4593	63962
67	4651	63748
68	4718	63664
69	4784	63564
70	4848	63441
71	4917	63378
72	4993	63413
73	5057	63281
74	5123	63191
75	5187	63064
76	5248	62916
77	5326	62957
78	5395	62896
79	5453	62716
80	5518	62615
81	5583	62503
82	5645	62373
83	5711	62277
84	5766	62078
85	5828	61943
86	5888	61798
87	5959	61757
88	6025	61676
89	6081	61491
90	6153	61471
91	6220	61393
92	6278	61235
93	6335	61062
94	6388	60857
95	6452	60764
96	6515	60656
97	6576	60530
98	6645	60480
99	6701	60312
100	6769	60257
101	6831	60142
102	6895	60053
103	6957	59945
104	7023	59866
105	7084	59752
106	7146	59644
107	7202	59483
108	7267	59403
109	7336	59358
110	7401	59279
111	7458	59135
112	7522	59045
113	7585	58955
114	7639	58791
115	7709	58751
116	7776	58687
117	7838	58585
118	7905	58527
119	7962	58390
120	8031	58344
121	8095	58260
122	8153	58138
123	8208	57988
124	8274	57922
125	8333	57802
126	8397	57726
127	8463	57656
128	8525	57564
129	8595	57522
130	8652	57396
131	8710	57279
132	8774	57196
133	8837	57115
134	8893	56985
135	8946	56836
136	9035	56915
137	9096	56820
138	9166	56781
139	9222	56652
140	9285	56568
141	9352	56512
142	9413	56414
143	9485	56387
144	9542	56267
145	9599	56151
146	9658	56044
147	9740	56070
148	9789	55908
149	9847	55802
150	9903	55680
151	9970	55626
152	10035	55555
153	10099	55483
154	10157	55376
155	10214	55261
156	10274	55169
157	10342	55114
158	10408	55055
159	10468	54961
160	10524	54842
161	10586	54762
162	10646	54668
163	10711	54604
164	10769	54498
165	10833	54427
166	10894	54340
167	10961	54283
168	11019	54184
169	11085	54121
170	11136	53988
171	11207	53951
172	11264	53848
173	11335	53811
174	11393	53713
175	11462	53664
176	11530	53612
177	11593	53539
178	11665	53503
179	11713	53362
180	11776	53286
181	11840	53216
182	11898	53122
183	11963	53054
184	12023	52967
185	12088	52902
186	12146	52810
187	12204	52711
188	12266	52637
189	12325	52544
190	12384	52453
191	12450	52394
192	12525	52373
193	12593	52321
194	12657	52254
195	12714	52156
196	12778	52085
197	12832	51976
198	12898	51916
199	12948	51794
200	13012	51725
201	13076	51656
202	13129	51548
203	13189	51463
204	13258	51417
205	13321	51344
